frame,label,confidence,x1,y1,x2,y2
0,person,0.8824575543403625,1062,439,1655,971
0,person,0.8662877082824707,1394,307,1686,584
0,person,0.8629395961761475,490,79,709,662
0,person,0.6847647428512573,312,379,652,1069
0,dining table,0.5064573287963867,701,772,1917,1076
0,bottle,0.44676223397254944,889,356,915,422
0,chair,0.4438724219799042,92,398,261,499
0,tie,0.43011683225631714,568,200,626,294
0,backpack,0.4121907353401184,1721,672,1915,863
0,person,0.4049956798553467,312,380,639,715
1,person,0.883950412273407,1064,438,1655,969
1,person,0.8641090393066406,486,79,709,661
1,person,0.8617846965789795,1395,307,1687,584
1,person,0.6806588172912598,304,375,650,1065
1,person,0.5178830027580261,311,379,638,715
1,dining table,0.5009516477584839,695,772,1917,1077
1,chair,0.4591331481933594,91,398,261,498
1,chair,0.4282032251358032,254,532,354,714
1,tie,0.41230297088623047,572,199,625,294
2,person,0.8821156024932861,1395,308,1688,585
2,person,0.8802344799041748,1060,438,1655,970
2,person,0.8698246479034424,484,78,708,658
2,person,0.690754234790802,301,373,653,1066
2,person,0.5313187837600708,309,378,638,715
2,dining table,0.5275883078575134,694,771,1917,1077
2,chair,0.4476739764213562,89,397,260,499
2,tie,0.4430699944496155,570,201,623,293
3,person,0.8903465867042542,1396,308,1690,584
3,person,0.8832314610481262,1062,433,1655,972
3,person,0.8670971989631653,481,78,706,657
3,person,0.7032739520072937,301,373,654,1066
3,person,0.5967446565628052,307,377,638,714
3,dining table,0.5440093874931335,695,771,1917,1077
3,chair,0.4375603497028351,89,397,258,498
3,bottle,0.40433967113494873,886,356,914,427
4,person,0.8821598291397095,1062,434,1655,970
4,person,0.8798527121543884,1397,308,1691,584
4,person,0.8765366077423096,482,78,705,656
4,person,0.711700439453125,302,373,653,1066
4,dining table,0.5452985763549805,695,770,1917,1077
4,person,0.5382352471351624,308,377,638,714
4,chair,0.4271697700023651,89,397,257,497
5,person,0.8795809149742126,1060,437,1654,965
5,person,0.8770386576652527,481,79,704,654
5,person,0.8720983862876892,1398,312,1690,584
5,person,0.7165476083755493,301,373,649,1066
5,person,0.5553715825080872,308,377,638,713
5,dining table,0.5497467517852783,698,769,1916,1077
5,chair,0.4246419370174408,87,396,256,498
6,person,0.8797470331192017,1060,437,1653,965
6,person,0.8765036463737488,480,79,702,653
6,person,0.8721951246261597,1398,312,1691,584
6,person,0.73099684715271,305,376,652,1068
6,dining table,0.546314001083374,696,769,1916,1076
6,person,0.49718648195266724,307,377,638,713
6,chair,0.4570716321468353,87,397,256,498
7,person,0.8821426033973694,480,79,701,654
7,person,0.8804649710655212,1063,432,1652,970
7,person,0.8714494109153748,1398,313,1691,585
7,person,0.7418632507324219,304,376,652,1068
7,dining table,0.5513585805892944,697,771,1917,1077
7,chair,0.5293866991996765,86,397,256,498
7,person,0.4740927219390869,307,377,639,714
7,chair,0.41565242409706116,96,397,288,734
8,person,0.882185161113739,479,79,700,654
8,person,0.8783883452415466,1061,436,1652,964
8,person,0.843669056892395,1398,313,1691,583
8,person,0.746240496635437,303,376,651,1069
