frame,track_id,x1,y1,x2,y2
0,1,1062,439,1655,971
0,2,1394,307,1686,584
0,3,490,79,709,662
0,4,312,379,652,1069
1,1,1063,438,1655,969
1,2,1394,307,1686,584
1,3,488,79,707,661
1,4,307,375,647,1065
1,5,311,379,638,715
2,1,1061,437,1654,969
2,2,1395,307,1687,584
2,3,487,78,705,658
2,4,306,373,647,1065
2,5,309,378,637,715
3,1,1058,434,1657,971
3,2,1397,308,1688,584
3,3,484,77,702,657
3,4,305,372,648,1065
3,5,308,377,636,714
4,1,1059,433,1657,970
4,2,1398,308,1689,584
4,3,484,77,702,655
4,4,305,372,648,1065
4,5,308,376,636,713
5,1,1061,435,1653,966
5,2,1399,310,1688,584
5,3,483,78,701,654
5,4,303,372,647,1065
5,5,309,376,636,713
6,1,1061,436,1651,965
6,2,1400,311,1688,583
6,3,482,78,699,652
6,4,305,374,648,1067
6,5,308,376,636,712
7,1,1059,433,1654,968
7,2,1400,312,1688,584
7,3,481,78,699,653
7,4,306,375,649,1067
7,5,308,376,636,713
8,1,1061,434,1652,965
8,2,1401,313,1688,583
8,3,480,79,698,653
8,4,305,375,649,1068
8,5,308,376,636,713
9,1,1061,434,1650,964
9,2,1401,314,1687,583
9,3,479,79,697,652
9,4,306,375,650,1067
9,5,308,376,636,712
10,1,1059,432,1654,967
10,2,1401,315,1686,582
10,3,478,79,696,652
10,4,306,376,650,1067
10,5,308,376,636,712
11,1,1058,432,1655,969
11,2,1401,316,1686,583
11,3,479,77,694,639
11,4,306,376,651,1067
11,5,308,376,636,712
12,1,1055,430,1651,968
12,2,1401,316,1686,582
12,3,479,76,692,634
12,4,306,376,651,1067
12,5,308,377,636,712
13,1,1055,430,1648,967
13,2,1399,317,1686,584
13,3,478,76,691,633
13,4,306,377,651,1067
13,5,309,379,636,712
14,1,1054,429,1648,967
14,2,1403,318,1682,576
14,3,476,76,690,630
14,4,307,379,652,1067
14,5,310,381,636,713
15,1,1055,429,1648,967
15,2,1405,318,1680,572
15,3,474,77,688,630
15,4,308,381,653,1067
15,5,310,382,637,714
16,1,1055,430,1646,967
16,2,1404,319,1681,573
16,3,473,78,687,629
16,4,308,382,652,1067
16,5,310,383,637,714
17,1,1058,434,1647,969
17,2,1400,320,1683,578
17,3,473,79,687,629
17,4,309,383,653,1066
17,5,311,383,636,714
18,1,1060,437,1646,969
18,2,1398,321,1684,581
18,3,472,79,686,627
18,4,310,383,653,1066
19,1,1060,438,1645,970
19,2,1398,323,1683,581
19,3,467,82,688,647
19,4,311,383,654,1065
20,1,1060,439,1646,971
20,2,1396,324,1684,583
20,3,466,84,688,654
20,4,308,382,650,1064
21,1,1060,439,1648,974
21,2,1395,324,1685,585
21,3,466,85,688,655
21,4,308,380,650,1064
22,1,1060,439,1650,977
