frame,label,confidence,x1,y1,x2,y2
0,person,0.8541463613510132,442,129,524,291
0,person,0.834858238697052,506,203,574,318
0,person,0.7535371780395508,96,38,141,89
0,person,0.6373050212860107,251,103,317,175
0,person,0.5579177141189575,249,235,339,332
0,person,0.5285719037055969,347,114,420,229
0,person,0.5279500484466553,283,58,325,133
0,person,0.487607479095459,293,32,333,76
0,person,0.46425125002861023,245,158,317,273
0,person,0.4563561975955963,409,33,446,79
0,person,0.445915162563324,168,70,215,152
0,person,0.41864868998527527,245,158,316,239
0,person,0.4009703993797302,348,114,420,181
1,person,0.8551061153411865,442,129,524,291
1,person,0.8357841372489929,506,203,574,318
1,person,0.7536659240722656,96,38,141,89
1,person,0.637515127658844,251,103,317,175
1,person,0.5578323602676392,249,235,339,332
1,person,0.5336208343505859,347,114,420,229
1,person,0.5268295407295227,283,58,325,133
1,person,0.4896722733974457,293,32,333,76
1,person,0.46856239438056946,245,158,317,271
1,person,0.45989081263542175,409,33,446,79
1,person,0.449457585811615,168,70,215,153
2,person,0.8547640442848206,442,135,524,290
2,person,0.8316428065299988,506,203,574,318
2,person,0.7537190914154053,96,38,141,89
2,person,0.6342227458953857,251,104,317,175
2,person,0.5330734252929688,249,235,339,332
2,person,0.5285661220550537,283,58,325,133
2,person,0.5276724100112915,347,114,420,229
2,person,0.48349231481552124,293,32,333,76
2,person,0.4825384020805359,408,33,446,79
2,person,0.4726775884628296,244,158,316,266
2,person,0.44904422760009766,168,70,215,153
3,person,0.8544070720672607,442,135,524,290
3,person,0.831057608127594,506,203,574,318
3,person,0.7553650140762329,96,38,141,89
3,person,0.6342337131500244,251,104,317,175
3,person,0.5478498339653015,282,58,325,133
3,person,0.5295770764350891,347,114,420,229
3,person,0.501055896282196,294,32,333,76
3,person,0.4849090278148651,245,158,317,250
3,person,0.460457444190979,409,33,446,79
3,person,0.4519141614437103,348,114,420,188
3,person,0.44782644510269165,168,70,215,153
4,person,0.8521610498428345,442,135,524,290
4,person,0.8287277817726135,505,203,574,318
4,person,0.754928708076477,96,38,141,89
4,person,0.623692512512207,251,104,317,175
4,person,0.547873854637146,347,114,420,229
4,person,0.525346040725708,283,59,325,133
4,person,0.509867250919342,245,158,318,250
4,person,0.49547022581100464,293,32,333,76
4,person,0.4498974680900574,167,70,216,152
4,person,0.44590768218040466,408,33,446,79
5,person,0.8528370261192322,442,135,524,290
5,person,0.8275373578071594,505,203,574,318
5,person,0.755581796169281,96,38,141,89
5,person,0.6112370491027832,251,104,317,175
5,person,0.5507141947746277,347,114,420,229
5,person,0.5381965041160583,283,59,325,133
5,person,0.5229900479316711,245,158,318,245
5,person,0.49945318698883057,293,32,333,76
5,person,0.4537172317504883,409,33,446,79
5,person,0.45150330662727356,167,70,216,152
6,person,0.8524988293647766,442,136,523,290
6,person,0.8251519799232483,505,203,574,318
6,person,0.7534930109977722,96,38,141,89
6,person,0.6271277666091919,251,104,317,176
6,person,0.5568280816078186,245,158,319,249
6,person,0.5325288772583008,347,114,420,229
6,person,0.5306175947189331,283,59,325,132
6,person,0.5113103985786438,293,32,333,76
6,person,0.4597725570201874,167,70,216,152
