frame,track_id,x1,y1,x2,y2
2,1,443,133,522,290
2,2,505,203,574,318
2,3,95,38,141,89
2,4,251,103,316,175
2,5,249,235,338,332
2,6,346,114,420,229
2,7,282,58,325,133
2,8,292,32,333,76
2,9,246,158,314,267
2,10,408,33,445,79
2,11,167,70,215,153
3,1,443,135,522,289
3,2,505,203,574,318
3,3,95,38,141,89
3,4,251,104,316,175
3,5,249,235,338,332
3,6,346,114,420,229
3,7,282,58,324,133
3,8,293,32,333,76
3,9,250,158,310,253
3,10,408,33,445,79
3,11,167,70,215,153
4,1,443,135,522,289
4,2,505,203,573,318
4,3,95,38,141,89
4,4,251,104,316,175
4,5,249,235,338,332
4,6,346,114,420,229
4,7,283,58,324,133
4,8,293,32,333,76
4,9,252,158,310,249
4,10,408,33,445,79
4,11,167,70,215,152
5,1,443,135,522,289
5,2,505,203,573,318
5,3,95,38,141,89
5,4,251,104,316,175
5,5,249,235,338,332
5,6,346,114,420,229
5,7,283,58,324,133
5,8,293,32,333,76
5,9,253,158,309,244
5,10,408,33,445,79
5,11,167,70,215,152
6,1,443,136,521,289
6,2,505,203,573,318
6,3,95,38,141,89
6,4,251,104,316,175
6,5,249,235,338,331
6,6,346,114,420,229
6,7,283,59,324,132
6,8,293,32,332,76
6,9,252,158,311,246
6,10,409,33,445,79
6,11,167,70,215,151
7,1,443,136,521,289
7,2,505,203,573,318
7,3,95,38,141,89
7,4,250,104,317,175
7,5,250,235,338,330
7,6,346,114,420,229
7,7,284,63,324,133
7,8,293,32,332,76
7,9,253,158,310,242
7,10,408,33,445,79
7,11,167,70,214,151
8,1,443,136,521,289
8,2,505,203,573,318
8,3,96,38,140,88
8,4,251,104,316,175
8,5,250,235,339,331
8,6,346,114,420,229
8,7,284,61,324,132
8,8,293,32,332,76
8,9,252,158,311,244
8,10,408,34,444,79
8,11,167,70,214,151
9,1,442,137,521,289
9,2,505,203,573,318
9,3,95,38,140,88
9,4,251,104,316,175
9,5,250,235,339,331
9,6,346,114,420,229
9,7,283,61,324,132
9,8,293,32,333,76
9,9,252,158,311,242
9,10,408,34,445,79
9,11,167,70,214,151
10,1,442,137,520,289
10,2,505,203,573,318
10,3,95,38,140,87
10,4,251,104,316,175
10,5,250,235,339,331
