frame,person_id,type
20,1,Excessive Head Turn
23,1,Excessive Head Turn
24,1,Excessive Head Turn
25,1,Excessive Head Turn
26,1,Excessive Head Turn
27,1,Excessive Head Turn
28,1,Excessive Head Turn
29,1,Excessive Head Turn
30,1,Excessive Head Turn
31,1,Excessive Head Turn
32,1,Excessive Head Turn
32,6,Excessive Hand Movement
33,1,Excessive Head Turn
33,6,Excessive Hand Movement
34,1,Excessive Head Turn
34,2,Excessive Hand Movement
34,6,Excessive Hand Movement
35,1,Excessive Head Turn
35,6,Excessive Head Turn
35,6,Excessive Hand Movement
36,1,Excessive Head Turn
36,1,Excessive Hand Movement
36,2,Excessive Hand Movement
36,6,Excessive Head Turn
36,6,Excessive Hand Movement
37,1,Excessive Head Turn
37,1,Excessive Hand Movement
37,2,Excessive Head Turn
37,2,Excessive Hand Movement
37,3,Excessive Head Turn
37,6,Excessive Head Turn
37,6,Excessive Hand Movement
38,1,Excessive Head Turn
38,1,Excessive Hand Movement
38,2,Excessive Head Turn
38,2,Excessive Hand Movement
38,3,Excessive Head Turn
38,6,Excessive Head Turn
38,6,Excessive Hand Movement
39,1,Excessive Head Turn
39,1,Excessive Hand Movement
39,3,Excessive Head Turn
39,6,Excessive Head Turn
39,6,Excessive Hand Movement
40,1,Excessive Head Turn
40,1,Excessive Hand Movement
40,2,Excessive Head Turn
40,2,Excessive Hand Movement
40,6,Excessive Head Turn
40,6,Excessive Hand Movement
41,1,Excessive Head Turn
41,1,Excessive Hand Movement
41,2,Excessive Head Turn
41,2,Excessive Hand Movement
41,3,Excessive Head Turn
41,6,Excessive Head Turn
41,6,Excessive Hand Movement
42,1,Excessive Head Turn
42,1,Excessive Hand Movement
42,2,Excessive Head Turn
42,2,Excessive Hand Movement
42,3,Excessive Head Turn
42,6,Excessive Head Turn
42,6,Excessive Hand Movement
43,1,Excessive Head Turn
43,1,Excessive Hand Movement
43,3,Excessive Head Turn
43,6,Excessive Head Turn
43,6,Excessive Hand Movement
44,1,Excessive Head Turn
44,1,Excessive Hand Movement
44,2,Excessive Head Turn
44,2,Excessive Hand Movement
44,3,Excessive Head Turn
44,6,Excessive Head Turn
44,6,Excessive Hand Movement
45,1,Excessive Head Turn
45,1,Excessive Hand Movement
45,2,Excessive Head Turn
45,2,Excessive Hand Movement
45,3,Excessive Head Turn
45,6,Excessive Head Turn
45,6,Excessive Hand Movement
46,1,Excessive Head Turn
46,1,Excessive Hand Movement
46,3,Excessive Head Turn
46,6,Excessive Head Turn
46,6,Excessive Hand Movement
47,1,Excessive Head Turn
47,1,Excessive Hand Movement
47,2,Excessive Head Turn
47,2,Excessive Hand Movement
47,3,Excessive Head Turn
47,6,Excessive Head Turn
47,6,Excessive Hand Movement
48,1,Excessive Head Turn
48,1,Excessive Hand Movement
48,2,Excessive Head Turn
48,2,Excessive Hand Movement
48,3,Excessive Head Turn
48,3,Excessive Hand Movement
48,6,Excessive Head Turn
48,6,Excessive Hand Movement
49,1,Excessive Head Turn
49,1,Excessive Hand Movement
49,2,Excessive Head Turn
49,2,Excessive Hand Movement
49,3,Excessive Head Turn
49,3,Excessive Hand Movement
50,2,Excessive Head Turn
50,2,Excessive Hand Movement
50,3,Excessive Head Turn
50,3,Excessive Hand Movement
50,6,Excessive Head Turn
50,6,Excessive Hand Movement
51,1,Excessive Head Turn
51,1,Excessive Hand Movement
51,2,Excessive Head Turn
51,2,Excessive Hand Movement
51,3,Excessive Head Turn
51,3,Excessive Hand Movement
51,6,Excessive Head Turn
51,6,Excessive Hand Movement
52,1,Excessive Head Turn
52,1,Excessive Hand Movement
52,2,Excessive Head Turn
52,2,Excessive Hand Movement
52,3,Excessive Head Turn
52,3,Excessive Hand Movement
52,6,Excessive Head Turn
52,6,Excessive Hand Movement
53,6,Excessive Head Turn
53,6,Excessive Hand Movement
54,1,Excessive Head Turn
54,1,Excessive Hand Movement
54,2,Excessive Head Turn
54,2,Excessive Hand Movement
54,3,Excessive Head Turn
54,3,Excessive Hand Movement
54,6,Excessive Head Turn
54,6,Excessive Hand Movement
55,1,Excessive Head Turn
55,1,Excessive Hand Movement
55,3,Excessive Head Turn
55,3,Excessive Hand Movement
55,6,Excessive Head Turn
55,6,Excessive Hand Movement
56,1,Excessive Head Turn
56,1,Excessive Hand Movement
56,2,Excessive Head Turn
56,2,Excessive Hand Movement
56,3,Excessive Head Turn
56,3,Excessive Hand Movement
56,6,Excessive Head Turn
56,6,Excessive Hand Movement
57,1,Excessive Head Turn
57,1,Excessive Hand Movement
57,2,Excessive Head Turn
57,2,Excessive Hand Movement
57,3,Excessive Head Turn
57,3,Excessive Hand Movement
57,6,Excessive Head Turn
57,6,Excessive Hand Movement
58,1,Excessive Head Turn
58,1,Excessive Hand Movement
58,2,Excessive Head Turn
58,2,Excessive Hand Movement
58,3,Excessive Head Turn
58,3,Excessive Hand Movement
58,6,Excessive Head Turn
58,6,Excessive Hand Movement
59,1,Excessive Head Turn
59,1,Excessive Hand Movement
59,3,Excessive Head Turn
59,3,Excessive Hand Movement
59,6,Excessive Head Turn
59,6,Excessive Hand Movement
60,1,Excessive Head Turn
60,1,Excessive Hand Movement
60,2,Excessive Head Turn
60,2,Excessive Hand Movement
60,3,Excessive Head Turn
60,3,Excessive Hand Movement
60,6,Excessive Head Turn
60,6,Excessive Hand Movement
61,1,Excessive Head Turn
61,1,Excessive Hand Movement
61,2,Excessive Head Turn
61,2,Excessive Hand Movement
61,3,Excessive Head Turn
61,3,Excessive Hand Movement
