frame,label,confidence,x1,y1,x2,y2
0,person,0.890676736831665,1066,433,1644,974
0,person,0.7879284024238586,308,376,647,1065
0,person,0.7566787004470825,499,85,708,657
0,person,0.5584673881530762,1396,309,1651,578
0,chair,0.5432865023612976,92,397,262,500
0,dining table,0.5178542733192444,745,786,1917,1074
1,person,0.8875571489334106,1064,438,1643,971
1,person,0.8342453241348267,310,379,641,1060
1,person,0.5454787015914917,1393,310,1655,587
1,person,0.4943571388721466,489,82,705,661
1,chair,0.4702043831348419,91,397,261,499
1,dining table,0.4333358407020569,712,773,1916,1075
2,person,0.8949185609817505,1066,436,1642,974
2,person,0.8325092792510986,309,379,642,1061
2,person,0.5816875696182251,1391,309,1648,576
2,person,0.5370710492134094,496,83,705,666
2,dining table,0.44525426626205444,711,772,1917,1075
3,person,0.8850708603858948,1062,437,1647,969
3,person,0.8165510892868042,308,380,641,1062
3,person,0.6449684500694275,491,83,702,681
3,person,0.5903232097625732,1396,307,1648,577
3,dining table,0.536068856716156,743,780,1917,1075
4,person,0.8879101872444153,1063,436,1647,968
4,person,0.8230016231536865,308,379,640,1062
4,person,0.7184134125709534,488,83,703,676
4,person,0.624992847442627,1397,308,1647,558
4,dining table,0.4769631326198578,742,780,1917,1075
5,person,0.8938186764717102,1063,437,1648,967
5,person,0.8181002736091614,309,379,640,1061
5,person,0.7137821912765503,487,82,700,667
5,person,0.6216943264007568,1396,312,1645,573
5,dining table,0.5009338855743408,740,782,1916,1075
5,chair,0.4048590362071991,87,396,257,498
6,person,0.8952166438102722,1063,438,1643,967
6,person,0.8313440084457397,309,377,640,1061
6,person,0.7722296714782715,483,82,700,675
6,person,0.6082136034965515,1392,312,1646,569
6,dining table,0.5002694129943848,713,775,1916,1076
6,chair,0.4081404209136963,86,397,257,498
7,person,0.8936157822608948,1062,436,1646,968
7,person,0.8413856029510498,309,377,641,1060
7,person,0.8170915842056274,482,82,700,665
7,person,0.6532339453697205,1395,314,1645,569
7,chair,0.5464634299278259,86,397,256,498
7,dining table,0.47644710540771484,756,782,1917,1075
8,person,0.8947442173957825,1063,435,1645,966
8,person,0.8506845235824585,308,377,641,1065
8,person,0.8213387727737427,483,81,697,665
8,person,0.680124044418335,1399,314,1647,564
8,dining table,0.4900369942188263,743,785,1916,1076
