frame,fps
0,1.37
1,1.82
2,1.94
3,2.0
4,2.12
5,2.22
6,2.24
7,2.32
8,2.36
9,2.39
10,2.41
11,2.44
12,2.44
13,2.48
14,2.5
15,2.52
16,2.52
17,2.54
18,2.55
19,2.53
20,2.53
21,2.51
22,2.5
23,2.46
24,2.4
25,2.35
26,2.31
27,2.26
28,2.23
29,2.19
30,2.18
31,2.15
32,2.12
33,2.08
34,2.04
35,1.99
36,1.95
37,1.89
38,1.84
39,1.78
40,1.74
41,1.68
42,1.64
43,1.57
44,1.52
45,1.46
46,1.42
47,1.36
48,1.31
49,1.28
50,1.23
51,1.2
52,1.16
53,1.14
54,1.15
55,1.15
56,1.15
57,1.15
58,1.15
59,1.14
60,1.15
61,1.14
62,1.14
63,1.14
64,1.13
65,1.13
66,1.12
67,1.12
68,1.12
69,1.13
70,1.13
71,1.13
72,1.13
73,1.14
74,1.14
75,1.14
76,1.14
77,1.14
78,1.14
79,1.14
80,1.14
81,1.14
82,1.15
83,1.15
84,1.15
85,1.15
86,1.15
87,1.15
88,1.16
89,1.16
90,1.15
91,1.15
92,1.16
93,1.16
94,1.16
95,1.17
96,1.17
97,1.17
98,1.17
99,1.17
100,1.17
101,1.17
102,1.17
103,1.17
104,1.17
105,1.17
106,1.17
107,1.17
108,1.17
109,1.17
110,1.17
111,1.17
112,1.17
113,1.17
114,1.17
115,1.17
116,1.16
117,1.16
118,1.16
119,1.16
120,1.16
121,1.15
122,1.15
123,1.15
124,1.15
125,1.14
126,1.14
127,1.13
128,1.13
129,1.13
130,1.14
131,1.17
132,1.22
133,1.25
134,1.29
135,1.28
136,1.28
137,1.28
138,1.29
139,1.33
140,1.37
141,1.41
142,1.47
143,1.53
144,1.58
145,1.63
146,1.68
147,1.75
148,1.79
149,1.84
150,1.88
151,1.93
152,1.99
153,2.04
154,2.1
155,2.15
156,2.19
157,2.26
158,2.31
159,2.35
160,2.4
161,2.41
162,2.4
163,2.4
164,2.4
165,2.45
166,2.49
167,2.54
168,2.57
169,2.57
170,2.58
171,2.57
172,2.56
173,2.55
174,2.55
175,2.55
176,2.55
177,2.53
178,2.54
179,2.54
180,2.54
181,2.53
182,2.53
183,2.54
184,2.53
185,2.53
186,2.54
187,2.54
188,2.53
189,2.55
190,2.56
191,2.56
192,2.58
193,2.59
194,2.61
195,2.62
196,2.63
197,2.64
198,2.66
199,2.67
200,2.68
201,2.7
202,2.72
203,2.72
204,2.73
205,2.73
206,2.74
207,2.75
208,2.75
209,2.76
210,2.78
211,2.8
212,2.8
213,2.79
214,2.78
215,2.77
216,2.74
217,2.69
218,2.64
219,2.59
220,2.53
221,2.46
222,2.41
223,2.35
224,2.29
225,2.24
226,2.18
227,2.12
228,2.06
229,2.01
230,1.95
231,1.9
232,1.84
233,1.81
234,1.75
235,1.7
236,1.63
237,1.59
238,1.54
239,1.48
240,1.42
241,1.36
242,1.3
243,1.25
244,1.2
245,1.16
246,1.13
247,1.13
248,1.13
249,1.14
250,1.15
251,1.16
252,1.16
253,1.17
254,1.17
255,1.17
256,1.17
257,1.16
258,1.16
259,1.16
260,1.16
261,1.16
262,1.15
263,1.13
264,1.12
265,1.11
266,1.12
267,1.11
268,1.11
269,1.12
270,1.13
271,1.14
272,1.16
273,1.17
274,1.18
275,1.2
276,1.2
277,1.2
278,1.2
279,1.19
280,1.18
281,1.19
282,1.2
283,1.21
284,1.21
285,1.23
286,1.24
287,1.26
288,1.27
289,1.28
290,1.29
291,1.29
292,1.3
293,1.31
294,1.32
295,1.33
296,1.33
297,1.34
298,1.36
299,1.36
300,1.36
301,1.35
302,1.35
303,1.35
304,1.35
305,1.34
306,1.34
307,1.35
308,1.36
309,1.36
310,1.37
311,1.36
312,1.36
313,1.36
314,1.36
315,1.35
316,1.35
317,1.34
318,1.33
319,1.31
320,1.3
321,1.3
322,1.29
323,1.28
324,1.28
325,1.27
326,1.27
327,1.27
328,1.25
329,1.24
330,1.23
331,1.23
332,1.21
333,1.2
334,1.2
335,1.21
336,1.21
337,1.21
338,1.2
339,1.19
340,1.19
341,1.2
342,1.24
343,1.29
344,1.35
345,1.42
346,1.49
347,1.55
348,1.61
349,1.69
350,1.72
351,1.72
352,1.71
353,1.71
354,1.71
355,1.71
356,1.71
357,1.69
358,1.69
359,1.68
360,1.67
361,1.67
362,1.67
363,1.66
364,1.65
365,1.64
366,1.62
367,1.61
368,1.6
369,1.59
370,1.58
371,1.57
372,1.56
373,1.54
374,1.49
375,1.42
376,1.34
377,1.26
378,1.2
379,1.12
380,1.08
381,1.07
382,1.08
383,1.08
384,1.07
385,1.06
386,1.05
387,1.06
388,1.06
389,1.07
390,1.07
391,1.09
392,1.1
393,1.12
394,1.13
395,1.14
396,1.16
397,1.17
398,1.18
399,1.19
400,1.2
401,1.2
402,1.16
403,1.15
404,1.13
405,1.13
406,1.14
407,1.14
408,1.15
409,1.15
410,1.17
411,1.19
412,1.19
413,1.2
414,1.21
415,1.24
416,1.25
417,1.27
418,1.31
419,1.31
420,1.32
421,1.32
422,1.33
423,1.34
424,1.36
425,1.38
426,1.4
427,1.41
428,1.43
429,1.45
430,1.47
431,1.47
432,1.48
433,1.49
434,1.5
435,1.51
436,1.53
437,1.56
438,1.59
439,1.61
440,1.6
441,1.61
442,1.61
443,1.61
444,1.62
445,1.63
446,1.63
447,1.62
448,1.6
449,1.59
450,1.59
451,1.58
452,1.56
453,1.55
454,1.54
455,1.52
456,1.5
457,1.48
458,1.46
459,1.44
460,1.43
461,1.43
462,1.42
463,1.4
464,1.38
465,1.37
466,1.36
467,1.34
468,1.32
469,1.29
470,1.28
471,1.27
472,1.27
473,1.27
474,1.26
475,1.24
476,1.23
477,1.22
478,1.22
479,1.22
480,1.22
481,1.22
482,1.22
483,1.22
484,1.22
485,1.23
486,1.24
487,1.24
488,1.24
489,1.24
490,1.24
491,1.23
492,1.24
493,1.27
494,1.28
495,1.29
496,1.29
497,1.29
