frame,track_id,x1,y1,x2,y2
0,1,1066,433,1644,974
0,2,308,376,647,1065
0,3,499,85,708,657
0,4,1396,309,1651,578
1,1,1068,437,1639,971
1,2,308,378,643,1060
1,3,492,82,703,660
1,4,1393,309,1654,585
2,1,1067,436,1640,973
2,2,307,379,643,1060
2,3,493,82,705,664
2,4,1392,309,1648,578
3,1,1069,436,1639,970
3,2,307,379,642,1061
3,3,488,82,705,677
3,4,1393,307,1649,576
4,1,1069,436,1639,968
4,2,306,379,641,1061
4,3,487,82,704,678
4,4,1400,307,1642,562
5,1,1070,436,1639,967
5,2,306,379,641,1061
5,3,486,82,701,671
5,4,1398,310,1643,568
6,1,1069,437,1637,966
6,2,306,377,641,1061
6,3,483,82,699,674
6,4,1397,311,1641,568
7,1,1068,436,1639,967
7,2,307,377,642,1060
7,3,483,81,698,668
7,4,1398,313,1641,568
8,1,1068,435,1639,966
8,2,306,376,642,1063
8,3,482,81,696,666
8,4,1401,314,1641,564
9,1,1066,435,1638,965
9,2,307,376,641,1060
9,3,482,80,696,668
9,4,1401,314,1642,566
10,1,1063,433,1640,968
10,2,307,377,641,1059
10,3,481,80,695,667
10,4,1403,316,1639,562
11,1,1063,434,1639,968
11,2,308,377,641,1059
11,3,477,79,694,676
11,4,1403,317,1639,562
12,1,1061,434,1639,969
12,2,308,377,641,1058
12,3,475,79,693,683
12,4,1401,318,1637,561
13,1,1060,435,1637,969
13,2,309,379,641,1058
13,3,472,78,691,692
13,4,1397,320,1633,560
14,1,1061,435,1639,969
14,2,311,380,643,1059
14,3,476,79,681,655
14,4,1404,321,1636,557
15,1,1060,435,1639,969
15,2,310,380,643,1059
15,3,479,81,676,633
15,4,1406,321,1639,558
16,1,1060,435,1639,969
16,2,310,381,642,1059
16,3,481,82,675,619
16,4,1409,320,1642,556
17,1,1063,436,1642,970
17,2,310,381,643,1060
17,3,474,81,680,658
17,4,1403,319,1640,558
18,1,1063,438,1642,970
18,2,310,381,643,1060
18,3,478,81,677,638
18,4,1403,319,1646,563
19,1,1063,438,1641,971
19,2,311,382,645,1061
19,3,474,82,671,628
19,4,1402,322,1646,566
20,1,1063,438,1641,971
20,2,311,381,645,1060
20,3,475,83,670,622
20,4,1402,323,1643,563
21,1,1062,438,1644,974
21,2,311,380,646,1060
21,3,475,83,670,620
21,4,1401,324,1642,564
22,1,1063,438,1646,975
22,2,311,379,648,1062
22,3,476,86,672,624
